p,atr_p,mult,supertrend_atr,supertrend_factor,atrnowinput,atrAvginput,volatilityMultiplier,bodyratioMult,structureLookback,bufferMult,maxSlDistance,isStrongTrendMult
7,3,0.42,4,1.42,4,12,0.73,0.83,25,0.87,19.04,14
9,5,0.45,7,2.0,3,11,0.53,0.7,31,0.89,23.81,12
7,3,0.26,6,1.94,4,12,0.68,0.64,33,0.42,43.83,11
7,4,0.34,4,1.48,3,12,0.93,0.61,27,0.37,119.06,18
10,5,0.31,7,1.71,3,11,0.65,0.57,26,0.78,8.89,11
8,4,0.45,5,1.45,3,10,0.61,0.8,20,0.86,41.14,11
6,3,0.33,7,1.76,2,10,0.59,0.58,34,0.95,105.14,13
8,5,0.57,4,1.66,4,12,0.96,0.68,32,0.8,36.93,16
10,3,0.4,5,1.47,4,11,0.79,0.84,29,0.54,80.17,10
9,3,0.57,7,1.89,2,8,0.53,0.65,31,0.9,36.11,9
9,4,0.33,4,1.4,4,11,0.69,0.66,33,0.92,15.74,17
7,5,0.57,6,1.74,4,8,0.53,0.58,22,0.55,8.11,11
7,4,0.58,6,1.21,2,8,0.99,0.88,25,0.54,93.58,10
10,3,0.47,7,1.48,4,10,0.65,0.82,31,0.55,41.16,14
9,4,0.3,7,1.62,2,8,0.94,0.62,29,1.15,78.45,9
6,5,0.58,5,1.4,3,8,0.87,0.85,22,0.35,18.16,16
9,3,0.45,4,1.79,3,8,0.51,0.82,22,1.04,48.44,17
6,6,0.56,6,1.77,2,10,0.53,0.63,33,0.69,50.08,15
10,4,0.33,6,1.91,2,12,0.71,0.8,25,0.94,96.44,18
7,6,0.56,6,1.28,2,10,0.94,0.6,28,0.69,88.07,10
9,3,0.33,7,1.88,3,14,0.87,0.7,27,1.05,58.53,10
8,4,0.43,4,1.5,3,13,0.55,0.69,28,0.47,67.9,19
10,5,0.33,5,1.98,3,10,0.64,0.6,26,0.32,69.56,19
6,3,0.28,5,1.25,2,12,0.64,0.76,28,0.71,58.5,10
6,3,0.39,6,1.51,2,11,0.5,0.58,30,0.79,77.97,10
10,5,0.31,7,1.98,3,13,0.55,0.63,30,1.12,109.93,12
9,3,0.52,7,1.33,3,9,0.73,0.8,27,1.06,57.35,15
8,6,0.27,6,1.23,4,14,0.77,0.82,30,1.06,50.89,12
9,4,0.31,5,1.73,2,13,0.81,0.84,25,0.68,63.61,18
8,6,0.54,5,1.53,4,11,0.94,0.69,27,0.73,33.68,9
6,5,0.27,7,1.44,3,14,0.6,0.8,30,0.9,34.3,9
8,6,0.45,4,1.44,3,9,0.79,0.74,26,1.09,48.71,17
8,3,0.5,7,1.81,4,13,0.57,0.84,31,0.88,51.27,13
7,3,0.29,7,1.29,2,13,0.68,0.9,30,0.54,36.79,18
8,6,0.35,7,1.21,2,14,0.99,0.85,23,0.7,61.7,18
9,6,0.48,5,1.87,4,13,0.94,0.63,34,0.61,51.6,11
7,4,0.45,5,1.6,4,11,0.73,0.77,25,0.55,16.04,18
6,6,0.51,4,1.29,4,14,0.71,0.56,29,0.42,63.9,18
8,4,0.3,5,1.35,4,14,0.63,0.67,31,1.2,105.31,15
7,3,0.49,7,1.6,2,10,0.84,0.65,26,0.81,109.67,19
6,3,0.27,4,1.45,2,12,0.6,0.68,26,0.54,9.11,10
9,5,0.32,7,1.69,2,14,0.8,0.87,33,0.48,111.92,19
8,5,0.32,7,1.35,3,11,0.61,0.84,29,1.13,51.15,17
10,5,0.3,4,1.73,2,13,0.67,0.73,29,0.71,51.43,19
8,6,0.38,7,1.22,4,8,0.81,0.7,22,1.04,5.52,12
9,5,0.34,5,1.79,3,13,0.97,0.64,27,0.51,69.3,16
8,3,0.5,6,1.63,2,10,0.59,0.63,22,1.11,109.31,13
7,4,0.56,5,1.72,4,9,0.51,0.82,22,0.76,67.18,10
10,5,0.39,6,1.21,2,10,0.66,0.7,22,1.03,52.01,16
10,4,0.56,5,1.78,3,14,0.74,0.58,30,0.71,22.38,18
10,6,0.43,4,1.66,2,13,0.57,0.74,27,1.06,53.47,13
9,6,0.39,6,1.69,2,10,0.64,0.73,26,0.76,8.48,14
7,3,0.45,5,1.54,4,13,0.59,0.85,34,1.11,76.66,19
10,3,0.3,7,1.52,2,10,0.71,0.85,33,0.62,53.8,10
9,5,0.38,5,1.26,2,10,0.83,0.56,20,1.05,85.96,10
10,4,0.3,6,1.55,4,14,0.92,0.68,22,0.61,37.64,13
7,6,0.42,6,1.92,4,12,0.58,0.64,34,0.82,60.91,17
10,4,0.46,7,1.94,2,13,0.71,0.89,29,0.76,33.84,19
10,5,0.25,6,1.94,3,9,0.51,0.73,25,0.82,113.89,19
6,3,0.35,5,1.89,3,9,0.6,0.61,33,0.69,105.34,9
8,5,0.26,7,1.29,3,12,0.52,0.84,20,0.32,70.77,13
7,3,0.34,4,1.24,4,14,0.93,0.76,25,0.96,88.72,15
10,6,0.58,5,1.26,2,8,0.98,0.63,34,0.54,71.94,12
9,4,0.44,5,1.9,3,10,0.86,0.56,20,1.14,68.28,9
6,4,0.34,5,1.58,2,8,0.78,0.57,22,0.67,76.77,11
10,5,0.46,5,1.77,3,8,0.74,0.63,31,0.36,52.19,14
10,4,0.44,4,1.37,4,13,0.76,0.77,33,0.98,112.2,17
6,6,0.47,5,1.85,4,12,0.67,0.66,28,1.05,82.19,14
9,5,0.25,5,1.45,2,9,0.69,0.84,31,1.17,23.8,17
10,4,0.52,4,1.87,3,8,0.68,0.8,22,1.05,77.14,14
8,6,0.34,7,1.4,3,14,0.8,0.81,24,0.35,62.53,9
9,3,0.28,6,1.82,2,14,0.93,0.59,34,0.9,35.04,16
8,3,0.4,4,1.62,2,14,0.81,0.87,32,0.81,59.48,15
10,6,0.46,7,1.66,3,8,0.64,0.71,31,0.91,49.41,15
6,4,0.42,7,1.82,2,14,0.79,0.84,23,0.34,58.32,17
6,5,0.42,7,1.82,4,9,0.87,0.68,23,0.85,27.97,11
9,4,0.31,4,1.27,4,8,0.65,0.85,34,1.04,32.26,12
8,6,0.45,5,1.56,3,9,0.63,0.87,33,0.47,103.21,11
8,3,0.43,5,1.98,2,11,0.99,0.58,21,0.64,72.83,18
6,3,0.45,5,1.26,4,9,0.66,0.71,27,0.47,92.91,17
9,4,0.59,5,1.65,3,11,0.74,0.56,26,1.17,49.25,17
10,3,0.29,5,1.3,4,8,0.92,0.55,20,0.31,23.22,15
6,5,0.44,7,1.74,2,10,1.0,0.81,33,0.37,46.62,13
6,4,0.27,5,1.49,2,14,0.64,0.78,31,1.01,108.86,15
8,4,0.54,7,1.79,4,9,0.55,0.77,25,0.84,52.66,19
9,5,0.46,5,1.63,2,12,0.77,0.88,21,0.79,67.39,11
9,4,0.54,7,1.85,2,14,0.77,0.79,26,0.64,115.61,16
7,5,0.36,7,1.29,2,8,0.94,0.62,21,1.08,59.76,19
6,3,0.28,5,1.92,3,10,0.94,0.7,30,0.94,116.72,14
10,5,0.51,4,1.61,4,13,0.87,0.57,29,1.03,15.67,16
8,6,0.3,5,1.31,4,14,0.82,0.89,30,0.95,27.11,15
7,5,0.39,6,1.59,3,10,0.65,0.86,22,0.9,29.95,11
9,3,0.36,7,1.46,3,10,0.84,0.73,20,0.6,10.04,17
6,4,0.45,4,1.81,2,9,0.92,0.66,20,0.58,85.74,17
7,4,0.48,5,1.4,3,14,0.99,0.88,20,0.36,37.56,19
8,3,0.58,5,1.44,3,12,0.83,0.62,25,0.56,60.45,17
9,4,0.35,7,1.44,2,13,0.65,0.82,30,0.52,44.2,9
8,5,0.54,6,1.72,4,14,0.91,0.87,33,1.2,20.36,10
10,4,0.53,4,1.73,2,10,0.78,0.74,30,1.11,118.05,18
10,4,0.51,7,1.65,4,8,0.65,0.72,31,0.39,101.26,9
10,4,0.43,6,1.39,3,10,0.66,0.83,27,0.52,107.85,18
10,3,0.26,7,1.2,3,14,0.54,0.77,28,0.34,54.71,18
9,4,0.5,7,1.25,4,9,0.97,0.64,22,0.98,88.54,9
7,4,0.33,6,1.65,3,10,0.85,0.69,33,0.63,46.26,10
8,5,0.52,7,1.65,3,13,0.87,0.86,33,1.11,26.73,15
10,3,0.52,5,1.9,2,8,0.97,0.66,29,0.6,111.18,17
9,4,0.43,7,1.61,4,8,0.82,0.84,20,0.59,58.65,13
8,4,0.25,6,1.3,4,13,0.8,0.61,20,0.54,30.82,18
9,6,0.53,5,1.42,2,10,0.96,0.81,31,0.37,53.77,15
9,3,0.5,7,1.57,2,10,0.86,0.9,20,0.53,22.78,16
6,6,0.32,7,1.78,3,12,0.81,0.88,34,0.88,21.65,14
6,4,0.43,7,1.54,4,9,0.96,0.68,25,0.59,56.2,12
10,4,0.37,6,1.69,3,10,0.72,0.61,25,0.51,46.53,11
8,6,0.34,7,1.85,4,14,1.0,0.86,26,0.74,16.4,15
8,6,0.29,4,1.74,3,13,0.81,0.83,27,0.55,65.28,12
8,5,0.59,7,1.91,4,9,0.65,0.69,34,0.94,35.1,9
8,6,0.34,4,1.36,3,9,0.69,0.74,32,0.4,102.8,14
7,5,0.42,5,1.64,4,8,0.87,0.79,34,1.08,24.22,12
6,3,0.39,6,1.74,2,14,0.97,0.89,34,0.31,50.45,16
10,4,0.46,4,1.21,3,13,0.56,0.77,22,0.57,76.91,19
9,4,0.27,5,1.31,2,8,0.89,0.89,27,0.42,28.32,16
9,4,0.54,5,1.62,2,14,0.82,0.7,27,0.42,94.39,15
8,5,0.51,4,1.29,2,13,0.75,0.81,25,0.84,16.37,12
8,3,0.38,5,1.21,3,8,0.54,0.6,25,0.5,10.43,12
10,5,0.46,6,1.88,4,12,0.87,0.58,25,0.92,92.77,11
8,5,0.41,4,1.89,4,14,0.55,0.81,24,0.96,12.33,13
10,5,0.4,6,1.35,2,11,0.78,0.85,23,0.7,103.07,11
6,5,0.39,5,1.69,2,14,0.81,0.84,21,0.81,97.77,17
6,5,0.58,7,1.45,4,11,0.56,0.68,22,0.73,40.76,17
9,5,0.54,6,1.7,4,12,0.54,0.89,32,1.04,51.45,15
6,4,0.47,7,1.89,2,11,0.8,0.56,23,1.09,40.27,12
10,4,0.49,6,1.34,3,11,0.61,0.84,21,1.07,69.34,17
9,4,0.49,5,1.2,4,11,0.51,0.67,20,1.04,106.16,10
9,6,0.51,6,1.33,3,14,0.9,0.72,21,1.19,6.02,9
7,5,0.54,5,1.53,3,13,0.77,0.63,23,0.79,70.89,14
7,4,0.36,7,1.43,2,8,0.69,0.85,23,0.91,38.36,15
7,5,0.58,6,1.87,3,12,0.76,0.65,24,0.88,23.77,18
8,3,0.36,4,1.87,2,14,0.74,0.78,25,0.53,24.66,13
8,6,0.25,7,1.34,2,14,0.91,0.64,28,0.41,43.42,19
6,3,0.59,5,1.46,3,13,0.76,0.69,25,0.77,33.03,19
9,6,0.49,6,1.65,2,14,0.9,0.75,33,0.72,60.41,12
6,5,0.43,5,1.33,2,11,0.55,0.79,21,1.06,57.88,12
7,6,0.57,7,1.68,2,13,0.85,0.88,21,0.93,96.64,15
7,6,0.42,7,1.58,4,13,0.84,0.58,24,0.42,7.76,9
10,6,0.37,6,1.59,4,13,0.9,0.56,29,0.88,45.05,19
6,4,0.26,4,1.7,2,13,0.97,0.69,20,0.75,51.05,11
10,6,0.59,4,1.43,3,10,0.89,0.64,32,0.96,90.12,16
10,5,0.5,4,1.21,2,9,0.83,0.87,32,0.62,60.99,18
8,6,0.54,4,1.84,2,8,0.62,0.57,30,0.99,93.22,14
6,3,0.28,6,1.32,4,11,0.85,0.71,29,0.99,102.68,13
6,4,0.29,6,1.36,4,10,0.78,0.59,26,0.6,10.1,9
6,3,0.5,4,1.97,2,13,0.51,0.86,25,1.14,93.52,18
9,5,0.41,7,1.77,4,9,0.6,0.81,27,0.81,93.06,10
6,3,0.52,7,1.69,2,12,0.53,0.79,20,0.85,32.58,16
7,6,0.58,7,1.2,4,12,0.94,0.81,26,0.73,70.86,15
8,3,0.38,4,1.94,2,12,0.74,0.79,29,0.51,49.31,10
7,6,0.41,7,1.66,2,14,0.89,0.83,33,0.36,53.94,13
9,4,0.55,4,1.51,3,13,0.83,0.82,22,0.45,79.32,16
7,5,0.52,4,1.23,2,9,0.74,0.56,30,1.08,38.78,9
9,6,0.38,6,1.57,4,10,0.6,0.57,26,0.36,80.43,10
7,6,0.31,4,1.41,3,10,0.51,0.74,27,0.95,70.28,9
8,5,0.32,7,1.5,4,13,0.9,0.81,24,1.06,86.41,18
7,5,0.37,7,1.45,3,12,0.67,0.6,31,0.42,88.02,10
7,4,0.6,5,1.73,3,8,0.82,0.85,33,1.15,80.55,10
9,6,0.34,6,1.97,4,10,0.59,0.83,32,1.16,105.87,16
9,4,0.42,4,1.88,4,11,0.54,0.65,25,0.48,110.8,15
10,5,0.49,7,1.9,2,9,0.64,0.59,27,0.41,72.17,14
9,5,0.51,7,1.62,2,10,0.91,0.71,32,0.68,58.86,9
8,5,0.31,7,1.32,3,14,0.83,0.87,30,0.98,37.69,14
9,4,0.39,5,1.36,3,8,0.55,0.77,32,0.45,16.81,9
10,3,0.34,6,1.78,3,10,0.67,0.67,25,0.43,81.76,9
8,4,0.49,6,1.57,2,10,0.75,0.68,22,0.99,8.97,11
6,6,0.35,4,1.66,2,10,0.79,0.61,28,1.04,74.88,13
6,6,0.42,4,1.3,3,13,0.57,0.58,25,1.2,62.11,15
10,4,0.44,4,1.66,3,14,0.99,0.7,31,1.14,43.72,11
6,6,0.3,5,1.82,2,8,0.66,0.65,22,0.31,64.38,14
10,5,0.55,5,1.99,4,14,0.54,0.6,29,0.66,60.65,17
10,3,0.36,4,1.74,2,9,0.81,0.84,34,0.98,67.75,12
8,5,0.3,5,1.29,4,10,0.8,0.75,20,0.61,92.69,12
7,4,0.35,4,1.99,2,8,0.53,0.59,26,0.44,63.65,10
8,6,0.33,7,1.59,4,14,0.86,0.83,29,1.02,49.24,15
9,4,0.56,5,1.5,2,8,0.78,0.62,26,0.78,60.2,10
8,4,0.5,5,1.72,3,11,0.77,0.61,25,0.56,32.52,9
8,6,0.33,5,1.59,3,13,0.95,0.88,22,1.15,56.23,15
8,5,0.36,7,1.26,4,11,0.78,0.78,32,0.58,74.06,13
8,3,0.5,7,1.63,2,12,0.63,0.71,27,1.07,62.03,9
8,3,0.57,5,1.93,3,11,0.73,0.74,34,0.96,37.48,16
6,4,0.54,4,1.46,3,10,0.99,0.64,22,0.57,27.64,11
8,6,0.26,5,1.89,4,10,0.96,0.58,30,0.75,38.37,14
7,4,0.53,4,1.38,3,13,0.92,0.77,28,1.13,99.97,15
6,6,0.38,6,1.57,3,10,0.78,0.62,26,1.03,79.0,12
7,5,0.54,5,1.34,4,11,0.54,0.59,30,1.16,104.37,15
9,4,0.48,6,1.43,2,14,0.54,0.56,22,0.75,72.11,19
6,3,0.29,4,1.29,2,13,0.68,0.56,25,0.59,95.41,17
10,5,0.27,7,2.0,3,10,0.64,0.79,29,0.65,63.26,18
10,6,0.49,5,1.36,3,14,0.75,0.84,23,0.47,57.43,17
8,4,0.29,7,1.79,4,9,0.83,0.83,33,0.4,98.12,10
10,5,0.41,7,2.0,4,12,0.78,0.88,31,1.04,15.62,17
10,4,0.46,5,1.47,4,14,0.68,0.65,27,0.4,95.64,12
9,6,0.53,5,1.89,2,8,0.82,0.61,24,0.87,89.2,13
9,6,0.37,7,1.24,3,11,0.58,0.67,34,0.72,106.77,18
8,4,0.41,7,1.8,2,12,0.81,0.58,28,1.03,109.64,12
6,6,0.29,7,1.78,4,11,0.76,0.66,31,1.19,52.62,12
7,4,0.34,5,1.53,3,8,0.59,0.68,22,0.66,34.51,18
7,4,0.5,4,1.81,4,11,0.87,0.77,31,1.09,102.06,13
8,4,0.32,5,1.91,3,10,0.99,0.75,20,0.97,14.7,10
9,3,0.39,4,1.58,3,11,0.81,0.87,27,0.51,57.3,12
8,3,0.28,4,1.35,4,10,0.85,0.86,23,0.86,77.56,11
6,5,0.36,4,1.71,3,12,0.6,0.64,22,0.96,89.42,12
6,5,0.51,6,1.23,2,12,0.87,0.76,28,0.7,59.24,13
8,5,0.27,7,1.23,4,13,0.54,0.57,26,0.31,79.15,14
7,3,0.28,5,1.52,2,12,0.74,0.79,23,0.49,85.25,14
10,6,0.39,4,1.54,4,11,0.98,0.87,22,1.16,80.4,12
10,6,0.45,5,1.38,4,13,0.95,0.65,24,0.36,91.79,10
7,5,0.58,4,1.94,4,8,0.62,0.62,31,0.75,27.85,10
8,6,0.28,5,1.94,3,14,0.52,0.79,27,0.73,38.51,10
8,6,0.58,6,1.69,3,11,0.54,0.83,34,1.12,82.46,19
6,6,0.59,4,1.48,2,9,0.8,0.59,33,0.93,35.24,13
9,6,0.56,6,1.82,2,9,0.93,0.68,26,0.31,64.94,13
9,4,0.49,4,1.37,2,12,0.79,0.69,22,0.77,111.75,19
7,3,0.59,5,1.58,2,10,0.92,0.64,30,0.44,88.49,15
8,5,0.26,7,1.24,2,11,0.66,0.9,28,0.79,114.37,12
9,4,0.57,5,1.57,2,9,0.52,0.89,27,0.64,30.24,19
9,3,0.29,6,1.55,3,12,0.79,0.57,30,1.01,77.37,13
7,4,0.27,6,1.86,4,9,0.83,0.83,29,1.0,30.64,18
9,6,0.6,7,1.31,3,14,0.92,0.57,26,0.98,21.3,15
10,3,0.33,6,1.8,4,12,0.94,0.88,20,0.74,116.76,14
6,6,0.48,6,1.65,4,12,0.71,0.68,27,0.64,49.93,15
7,3,0.49,7,1.23,2,13,0.78,0.71,32,0.64,40.73,12
6,5,0.27,7,1.36,3,12,0.95,0.73,24,1.08,77.44,16
7,3,0.32,6,1.45,3,14,0.68,0.89,22,0.64,12.04,18
9,4,0.6,7,1.65,2,9,0.94,0.83,22,1.11,77.37,19
7,6,0.31,4,1.74,3,10,0.64,0.78,25,0.51,110.01,11
9,5,0.55,6,1.42,3,12,0.71,0.89,21,0.79,19.39,12
8,6,0.55,4,1.76,3,13,0.7,0.89,29,0.72,116.76,11
10,3,0.55,5,1.98,2,8,0.93,0.62,33,1.19,15.45,13
6,6,0.47,6,1.85,3,13,0.63,0.57,33,0.45,51.95,18
8,6,0.37,4,1.54,2,12,0.86,0.65,23,0.47,37.14,19
8,5,0.25,4,1.33,2,12,0.91,0.82,32,1.15,12.15,18
10,4,0.51,7,1.43,2,9,0.86,0.89,22,0.84,32.98,15
10,4,0.32,6,1.33,3,8,0.93,0.63,30,0.96,13.85,11
7,3,0.55,4,1.47,4,10,0.98,0.79,21,0.88,82.19,12
6,3,0.42,7,1.34,4,13,0.93,0.81,20,1.01,80.4,18
6,5,0.36,6,1.95,4,13,0.61,0.58,28,1.06,100.81,9
7,5,0.45,4,1.94,2,10,0.52,0.61,29,0.36,13.03,9
8,4,0.51,7,1.34,2,13,0.82,0.84,27,0.87,79.99,10
6,4,0.43,5,1.76,2,9,0.96,0.7,21,1.01,52.48,15
8,3,0.42,5,1.59,2,14,0.6,0.65,22,0.77,54.02,15
10,4,0.56,5,1.67,4,14,0.59,0.76,30,0.86,88.15,11
7,3,0.45,5,1.51,4,11,0.69,0.81,33,0.55,80.93,15
