p,atr_p,mult,supertrend_atr,supertrend_factor,atrnowinput,atrAvginput,volatilityMultiplier,bodyratioMult,structureLookback,bufferMult,maxSlDistance,isStrongTrendMult
9,3,0.31,6,1.73,2,10,0.67,0.7,26,1.06,111.22,17
10,5,0.41,6,1.37,2,8,0.86,0.8,25,0.43,92.02,15
8,5,0.31,5,1.94,3,10,0.73,0.84,28,0.51,107.27,11
10,6,0.39,7,1.28,3,10,0.6,0.88,25,0.48,59.64,17
6,6,0.29,6,1.39,4,14,0.55,0.62,23,0.84,15.72,13
7,6,0.35,7,1.64,3,11,0.59,0.61,25,0.97,105.11,9
10,4,0.46,6,1.79,4,9,0.62,0.77,30,0.95,74.93,15
8,4,0.59,6,1.26,4,12,0.98,0.68,26,0.58,14.01,17
10,3,0.35,7,1.84,3,11,0.88,0.87,23,1.03,82.91,9
6,3,0.54,6,1.51,3,14,0.69,0.81,34,0.79,74.1,9
10,5,0.48,6,1.77,3,12,0.67,0.7,22,1.16,65.02,16
8,4,0.31,6,1.76,3,13,0.61,0.64,31,0.46,81.32,17
10,6,0.39,7,1.44,2,11,0.62,0.67,27,0.48,81.84,14
7,4,0.46,6,1.51,2,9,0.95,0.86,25,0.46,6.06,9
6,3,0.32,6,1.81,4,8,0.51,0.73,21,0.44,31.16,12
9,4,0.37,5,1.68,4,14,0.88,0.61,22,0.35,112.25,10
9,6,0.47,7,1.44,4,9,0.89,0.9,20,1.05,24.23,16
7,5,0.43,5,1.46,3,10,0.77,0.73,26,1.03,13.22,16
6,6,0.56,5,1.32,4,13,0.6,0.58,31,0.55,66.7,9
10,3,0.48,5,1.44,3,8,0.97,0.83,28,0.72,60.91,15
10,6,0.53,5,1.84,3,9,0.54,0.79,27,0.58,63.83,11
9,4,0.41,7,1.57,3,9,0.98,0.76,33,1.06,57.45,14
8,5,0.46,5,1.47,2,14,0.79,0.61,34,0.73,99.8,16
9,5,0.5,4,1.63,3,13,0.72,0.57,20,0.8,78.87,10
8,5,0.27,4,1.32,3,11,0.89,0.78,29,0.62,115.09,16
9,5,0.31,4,1.64,2,14,0.54,0.7,22,1.15,72.3,13
10,3,0.6,5,1.44,3,9,0.8,0.59,31,0.47,77.66,9
10,4,0.55,7,1.59,3,9,0.7,0.78,26,1.13,108.69,10
9,3,0.41,6,1.24,2,10,0.69,0.82,22,0.53,42.71,18
6,6,0.26,6,1.71,4,10,0.68,0.76,25,1.06,114.14,11
8,5,0.46,7,1.9,2,14,0.92,0.84,29,0.41,95.87,18
8,6,0.57,5,1.62,4,8,0.76,0.71,27,1.06,87.63,9
9,6,0.56,6,1.75,4,10,0.53,0.77,21,0.84,34.25,19
7,4,0.35,5,1.24,4,8,0.86,0.69,21,1.08,67.97,12
8,5,0.28,7,1.4,3,11,0.96,0.81,22,0.61,10.15,18
8,4,0.28,7,1.55,3,8,0.71,0.86,23,0.54,114.97,12
8,4,0.55,5,1.26,2,10,0.83,0.8,26,0.94,78.38,19
10,3,0.55,6,1.27,2,9,0.96,0.55,34,0.43,18.03,14
9,5,0.49,4,1.53,2,10,0.77,0.82,27,1.17,116.22,12
9,6,0.48,4,1.8,4,13,0.66,0.64,32,0.42,106.41,18
8,4,0.29,5,1.91,4,11,0.91,0.75,24,1.07,72.58,19
7,4,0.36,7,1.35,3,13,0.54,0.73,30,0.96,59.16,14
9,6,0.46,6,1.76,2,9,0.73,0.84,29,0.59,102.44,10
10,3,0.51,4,1.24,4,10,0.82,0.72,25,0.41,68.57,16
9,5,0.5,7,1.92,2,10,0.55,0.84,33,0.41,80.48,10
9,6,0.36,4,1.57,4,12,0.56,0.65,28,0.48,109.59,10
10,5,0.55,7,1.73,2,12,0.73,0.79,29,1.04,65.07,18
8,6,0.37,5,1.73,4,9,0.59,0.76,25,0.8,7.05,9
7,6,0.5,6,1.24,4,10,0.76,0.79,34,0.98,6.79,16
10,5,0.3,5,1.25,3,10,0.68,0.78,24,0.8,50.01,12
6,3,0.39,4,1.54,2,14,0.88,0.61,27,0.34,54.6,17
9,3,0.59,6,1.7,3,14,0.54,0.79,23,0.95,70.77,9
6,3,0.58,5,1.44,3,13,0.84,0.77,34,0.3,58.68,12
9,6,0.38,5,1.74,2,8,0.79,0.76,24,0.81,54.83,10
10,4,0.57,7,1.4,4,11,0.86,0.88,28,0.48,9.3,12
10,5,0.37,7,1.77,4,13,0.62,0.83,23,0.8,36.54,17
9,3,0.38,7,1.58,4,13,0.92,0.68,25,1.19,107.84,18
8,3,0.5,7,1.56,4,8,0.95,0.76,31,1.2,18.87,16
9,4,0.43,4,1.44,2,12,0.51,0.67,25,0.54,74.08,17
8,5,0.35,4,1.41,3,10,0.85,0.74,34,1.06,38.29,14
7,3,0.26,5,1.69,3,10,0.64,0.57,23,0.85,66.11,17
9,6,0.33,7,1.32,4,10,0.68,0.76,26,0.59,24.91,14
10,5,0.33,5,1.89,2,12,0.84,0.57,33,0.55,87.07,16
8,5,0.33,5,1.4,3,8,0.52,0.77,34,0.75,9.18,12
7,6,0.38,7,1.7,2,13,0.86,0.77,22,1.12,91.79,12
9,6,0.4,6,1.66,4,14,0.7,0.76,27,1.18,96.88,19
10,3,0.55,4,1.69,4,9,0.58,0.84,30,0.36,91.01,18
10,6,0.33,7,1.83,4,10,0.93,0.68,34,0.31,10.52,12
9,3,0.43,5,1.85,3,12,1.0,0.61,27,0.84,100.81,16
9,3,0.54,5,1.65,3,10,0.76,0.85,23,0.47,10.93,9
7,4,0.27,4,1.47,3,11,0.7,0.6,28,0.94,110.2,13
7,3,0.5,4,1.68,2,13,0.63,0.68,22,0.5,95.39,10
8,4,0.34,4,1.41,2,14,0.84,0.56,34,0.67,62.79,13
9,6,0.59,4,1.77,2,12,0.57,0.7,20,1.12,102.83,13
6,5,0.42,5,1.31,4,11,1.0,0.85,28,0.34,108.3,10
7,4,0.58,5,1.22,4,8,0.8,0.6,23,1.06,82.93,13
10,4,0.51,6,1.28,4,10,0.93,0.84,27,0.79,45.49,16
7,4,0.47,7,1.65,4,12,0.7,0.68,26,1.17,22.77,18
6,3,0.53,7,1.68,4,8,0.89,0.82,27,1.19,39.93,18
10,3,0.6,5,1.27,4,12,1.0,0.58,28,1.19,38.13,15
6,4,0.38,7,1.27,2,9,0.86,0.6,26,0.84,95.49,17
10,3,0.49,7,1.32,3,8,0.77,0.63,32,0.76,63.98,9
10,4,0.32,5,1.97,2,10,1.0,0.78,20,1.04,48.55,9
8,4,0.51,5,1.42,3,9,0.87,0.83,24,0.49,86.95,15
10,4,0.41,7,1.55,3,14,0.68,0.72,24,0.92,51.85,9
9,4,0.41,6,1.33,2,13,0.68,0.65,30,0.86,69.5,12
6,3,0.49,4,1.62,2,14,0.96,0.69,23,1.1,106.25,19
9,3,0.46,4,1.29,4,9,1.0,0.87,32,0.86,64.44,15
7,5,0.46,5,1.92,3,14,0.7,0.78,34,0.34,82.67,13
6,4,0.39,6,1.77,3,14,0.94,0.75,27,0.51,41.42,10
10,3,0.51,7,1.23,4,11,0.85,0.76,20,0.65,102.75,14
7,4,0.37,6,1.42,3,8,0.66,0.81,29,1.13,115.59,10
10,3,0.39,7,1.43,2,14,0.96,0.66,24,0.94,26.53,10
9,6,0.44,5,1.68,3,13,1.0,0.72,20,1.15,89.88,13
9,4,0.3,7,1.62,2,8,0.85,0.64,31,0.97,86.78,18
7,5,0.28,4,1.92,4,14,0.81,0.7,20,0.36,45.4,19
10,3,0.6,7,1.96,4,12,0.96,0.62,30,0.35,94.0,18
10,3,0.31,7,1.8,2,12,0.66,0.65,24,0.4,70.55,18
10,4,0.44,5,1.43,4,9,0.87,0.71,24,0.33,84.68,12
8,4,0.38,7,1.62,3,11,0.82,0.61,32,1.14,71.09,18
9,3,0.58,5,1.51,4,14,0.55,0.68,34,0.79,12.89,9
10,5,0.53,7,1.95,3,11,0.57,0.71,29,0.7,28.6,16
7,4,0.28,7,1.3,2,8,0.52,0.88,30,0.33,64.76,14
10,5,0.26,7,1.32,4,12,0.99,0.59,30,0.64,14.71,15
6,6,0.33,5,1.96,3,12,0.97,0.81,24,0.47,91.51,16
10,3,0.48,4,1.62,2,12,0.59,0.56,32,1.02,33.31,15
8,5,0.48,6,1.58,4,10,0.63,0.68,33,0.52,53.27,13
8,3,0.52,7,1.7,2,12,0.95,0.6,24,1.02,85.44,19
6,6,0.54,7,1.22,4,9,0.79,0.61,22,0.9,106.06,13
8,6,0.5,6,1.44,2,10,0.63,0.69,22,0.91,28.89,16
9,4,0.26,4,1.89,3,11,0.81,0.59,26,0.56,23.33,17
8,3,0.31,6,1.55,4,8,0.52,0.69,22,0.34,19.3,14
7,5,0.36,7,1.59,2,10,0.76,0.58,21,0.31,68.24,9
8,4,0.53,7,1.22,2,13,0.57,0.73,32,0.82,35.06,19
10,6,0.5,4,1.36,3,11,0.56,0.83,29,0.46,106.91,11
8,6,0.56,5,1.72,3,13,0.89,0.7,20,1.13,58.08,16
6,5,0.3,7,1.45,4,9,0.75,0.71,26,0.51,32.91,16
7,6,0.46,5,1.98,4,11,0.55,0.82,23,0.5,82.48,12
7,3,0.41,6,1.21,4,12,0.66,0.75,28,0.59,74.72,12
7,5,0.49,4,1.55,3,12,0.62,0.65,33,0.76,84.8,15
7,5,0.44,5,1.68,2,8,0.85,0.66,33,1.05,69.03,11
8,4,0.55,4,1.79,4,12,0.94,0.71,25,1.11,65.07,11
6,4,0.27,6,1.54,3,12,0.71,0.77,29,0.38,104.44,16
8,5,0.28,4,1.46,4,9,0.99,0.78,26,0.45,87.45,12
8,6,0.3,7,1.48,4,12,1.0,0.71,27,1.01,5.89,14
6,5,0.55,4,1.38,4,11,0.73,0.9,25,0.9,100.85,19
7,5,0.36,4,1.98,3,9,0.89,0.77,25,1.13,64.28,10
10,6,0.34,7,1.86,4,14,0.7,0.59,34,0.97,107.81,18
8,6,0.38,6,1.72,2,12,0.69,0.86,23,0.55,76.38,11
7,4,0.53,6,1.44,3,13,0.95,0.83,22,0.72,15.07,15
10,3,0.31,6,1.63,3,14,0.61,0.6,30,0.59,45.7,16
6,3,0.59,6,1.76,2,8,0.84,0.59,25,0.97,9.72,10
10,5,0.35,4,1.23,4,13,0.72,0.9,27,0.38,76.9,18
7,4,0.39,7,1.58,2,8,0.95,0.74,34,0.32,108.09,19
7,6,0.52,5,1.97,3,9,0.6,0.86,32,0.37,23.84,12
9,5,0.41,7,1.87,4,10,0.69,0.57,26,0.44,22.85,15
6,3,0.59,5,1.98,2,10,0.83,0.74,21,0.89,57.05,14
6,6,0.33,4,1.29,4,14,0.69,0.65,20,0.53,103.4,10
6,4,0.35,6,1.45,4,13,0.86,0.6,22,0.53,109.56,10
10,5,0.54,7,1.2,3,14,0.59,0.56,33,0.44,114.28,16
6,5,0.57,4,2.0,4,12,0.54,0.63,30,0.3,10.86,17
6,4,0.55,7,1.82,3,10,0.71,0.84,23,0.79,112.11,16
10,4,0.27,6,1.36,2,9,0.86,0.89,32,1.13,33.78,10
9,4,0.39,4,1.92,3,10,0.85,0.87,26,0.82,45.05,14
7,3,0.31,7,1.8,2,8,0.98,0.71,21,0.48,94.28,19
9,4,0.35,4,1.45,4,9,0.79,0.66,31,0.96,16.13,9
6,4,0.48,6,1.47,4,8,0.56,0.74,31,0.53,85.79,17
9,4,0.26,5,1.71,2,9,0.8,0.76,22,0.54,76.57,10
10,4,0.28,4,1.39,3,10,0.85,0.68,30,0.71,96.26,16
7,3,0.54,4,1.29,4,10,0.73,0.56,22,0.59,41.44,11
9,5,0.58,4,1.43,3,9,0.57,0.68,21,0.31,66.85,14
8,5,0.51,5,1.59,3,13,0.92,0.61,31,0.51,82.66,14
9,4,0.28,7,1.9,3,8,0.79,0.85,20,1.13,108.19,17
8,5,0.58,5,1.79,3,14,0.53,0.9,29,0.99,117.15,12
8,5,0.56,5,1.83,2,9,0.68,0.79,30,0.33,48.1,15
8,4,0.54,7,1.56,2,14,0.65,0.67,23,0.37,16.4,13
7,4,0.53,6,1.2,4,13,0.9,0.68,33,0.78,40.18,17
8,3,0.35,6,1.73,4,11,0.9,0.65,24,0.45,73.58,13
7,5,0.29,6,1.51,3,14,0.59,0.88,21,1.05,11.9,17
9,3,0.55,5,1.81,3,11,0.85,0.6,24,0.65,112.83,9
8,3,0.49,4,1.3,3,13,0.51,0.76,22,0.88,112.73,14
9,4,0.25,4,1.21,3,12,0.61,0.65,33,0.33,96.63,12
10,3,0.33,4,1.81,2,14,0.53,0.88,32,0.52,42.54,13
8,5,0.46,7,1.45,3,11,0.81,0.77,25,0.7,118.5,13
10,4,0.6,5,1.8,4,8,0.94,0.61,32,0.53,67.73,15
7,3,0.28,4,1.88,3,14,0.79,0.61,25,0.56,114.06,9
9,4,0.38,7,1.34,3,10,1.0,0.76,23,0.41,30.71,14
7,5,0.42,7,1.51,4,13,0.99,0.64,34,0.47,116.36,11
9,5,0.37,4,1.7,2,13,0.82,0.69,30,0.55,87.31,10
6,6,0.42,5,1.23,2,10,0.55,0.59,34,1.01,48.05,14
6,4,0.44,7,1.93,4,8,0.76,0.85,34,0.52,14.04,15
7,5,0.38,6,1.51,2,11,0.73,0.59,29,0.35,102.58,11
10,6,0.41,6,1.35,4,14,0.7,0.67,24,0.3,79.33,14
7,3,0.28,5,1.78,4,10,0.59,0.61,26,0.65,56.49,10
8,5,0.58,7,1.68,2,10,0.95,0.73,20,0.87,114.94,14
10,4,0.49,6,1.71,2,11,0.97,0.75,33,0.4,82.43,17
9,5,0.29,4,1.92,3,13,0.67,0.6,31,0.83,48.24,19
8,3,0.47,5,1.39,3,8,0.53,0.56,32,0.69,45.3,19
9,5,0.46,5,1.89,2,14,0.69,0.58,23,0.85,58.42,11
10,3,0.31,5,1.94,4,14,0.78,0.69,21,0.91,42.6,11
8,6,0.31,7,1.66,4,9,0.84,0.75,27,0.86,48.26,11
9,4,0.56,6,1.29,4,10,0.9,0.76,24,0.47,92.54,14
10,3,0.4,7,1.23,4,11,0.67,0.78,31,1.08,113.26,12
7,5,0.55,4,1.57,3,14,0.89,0.62,26,0.41,95.27,16
10,4,0.4,5,1.29,4,9,0.63,0.64,29,0.52,108.06,18
7,5,0.53,6,1.24,3,11,0.97,0.8,21,1.18,78.92,9
9,6,0.38,6,1.77,4,10,0.57,0.72,28,0.5,30.48,9
8,3,0.36,6,1.21,3,10,0.51,0.82,24,0.76,14.14,19
9,5,0.27,4,1.69,3,10,0.86,0.57,29,0.5,88.93,10
6,4,0.37,7,1.37,4,10,0.91,0.73,28,1.01,119.72,19
7,4,0.33,6,1.84,2,10,1.0,0.63,31,0.65,85.9,18
10,6,0.34,5,1.97,4,11,0.74,0.67,32,0.38,28.19,9
8,6,0.33,7,1.21,2,8,0.6,0.6,22,1.03,108.64,14
9,5,0.57,4,1.98,3,13,0.8,0.87,33,0.33,119.98,11
7,5,0.27,6,1.78,3,8,0.97,0.58,26,0.88,109.68,9
7,4,0.56,7,1.45,3,12,0.58,0.57,24,1.09,112.42,14
9,4,0.37,6,1.38,4,11,0.87,0.84,32,0.65,107.66,13
10,6,0.42,5,1.23,4,14,0.52,0.84,34,0.8,78.59,18
8,6,0.6,4,1.45,4,8,0.88,0.8,24,0.34,9.54,15
9,5,0.35,5,1.61,2,9,0.8,0.85,31,0.99,95.57,13
6,5,0.48,4,1.96,4,14,0.81,0.88,34,0.37,99.19,10
9,3,0.5,4,1.81,4,8,0.59,0.64,20,1.01,25.79,18
7,3,0.27,7,1.41,4,8,0.75,0.79,25,0.63,44.11,16
7,4,0.54,4,1.38,2,13,0.82,0.69,27,0.35,107.01,17
7,4,0.49,7,1.58,3,12,0.86,0.56,29,0.56,110.6,11
10,3,0.28,4,1.79,4,10,0.64,0.82,30,0.43,61.71,9
9,6,0.51,5,1.53,2,8,0.5,0.62,30,0.9,23.46,14
7,6,0.34,5,1.42,2,13,0.91,0.62,22,0.61,82.0,15
10,5,0.38,7,1.24,3,8,0.92,0.65,26,0.34,59.1,17
8,5,0.28,5,1.9,3,12,0.71,0.79,30,1.07,6.3,19
10,6,0.45,4,1.8,3,14,0.89,0.69,20,0.99,38.11,15
6,6,0.43,5,1.98,3,10,0.97,0.89,22,1.01,36.08,13
6,4,0.31,7,1.51,2,9,0.54,0.69,28,0.73,27.2,12
8,3,0.33,5,1.5,3,8,0.93,0.78,27,0.4,51.49,16
6,4,0.33,4,1.78,4,11,0.64,0.79,28,0.46,86.21,12
10,3,0.36,6,1.72,2,8,0.69,0.82,33,0.73,107.86,13
7,6,0.42,7,1.86,2,10,0.66,0.89,26,0.62,105.05,17
7,3,0.43,5,1.78,3,11,0.63,0.59,28,0.31,6.09,19
6,6,0.43,5,1.23,2,8,0.63,0.88,26,0.39,79.73,15
6,5,0.36,6,1.65,3,9,0.6,0.71,21,0.65,89.0,15
8,3,0.3,6,1.21,2,11,0.51,0.6,30,0.56,118.17,17
7,3,0.51,5,1.3,4,11,0.92,0.87,32,0.53,31.42,15
8,4,0.41,5,1.24,4,14,0.56,0.87,20,1.02,12.35,19
6,4,0.54,5,1.8,4,13,0.61,0.62,20,0.47,52.23,14
7,4,0.6,4,1.31,3,9,0.63,0.73,29,0.82,37.3,16
10,5,0.26,7,1.69,4,10,0.84,0.62,33,1.02,43.29,14
6,6,0.55,7,1.93,2,13,0.69,0.61,22,0.74,10.07,13
6,3,0.52,4,1.99,2,13,0.51,0.79,28,0.78,79.27,12
9,3,0.34,5,1.65,4,13,0.84,0.6,26,0.9,65.19,14
10,5,0.26,5,1.83,2,13,0.79,0.7,32,0.43,70.14,12
7,4,0.47,5,1.98,3,10,0.86,0.7,21,0.65,115.15,16
8,5,0.28,4,1.95,4,11,0.52,0.86,32,0.83,63.87,14
7,3,0.39,4,1.98,4,9,0.86,0.79,34,0.47,18.87,12
6,6,0.31,7,1.97,2,12,0.85,0.88,26,0.94,100.96,12
6,6,0.57,6,1.91,3,14,0.58,0.69,24,0.38,67.49,15
10,6,0.35,7,1.29,2,14,0.57,0.7,26,0.59,47.04,16
9,6,0.3,5,1.45,2,10,0.91,0.58,34,0.46,77.16,12
10,4,0.51,7,1.32,3,13,0.52,0.62,32,0.61,89.88,16
9,4,0.51,5,1.76,3,13,0.68,0.57,26,0.75,118.37,16
10,6,0.44,7,1.64,4,10,0.8,0.57,31,0.86,29.04,17
6,3,0.33,4,1.49,2,8,0.92,0.75,28,0.32,10.99,17
8,3,0.34,6,1.9,2,8,0.5,0.68,27,1.11,6.3,12
7,6,0.43,4,1.34,4,8,0.76,0.81,25,0.71,29.91,14
7,6,0.5,6,1.58,4,10,0.79,0.65,28,0.74,6.15,13
7,6,0.46,7,1.36,2,9,0.92,0.63,32,0.31,11.32,12
7,4,0.5,7,1.58,3,10,0.82,0.66,33,1.07,15.34,16
7,6,0.48,4,1.41,2,13,0.62,0.84,23,0.88,16.2,10
7,6,0.25,4,1.98,2,11,0.86,0.55,26,1.09,29.76,18
6,5,0.4,4,1.53,4,12,0.56,0.81,25,0.7,68.01,11
7,4,0.31,7,1.61,2,12,0.97,0.68,24,0.57,110.12,13
10,5,0.43,7,1.24,3,12,0.54,0.59,20,1.02,71.1,14
6,3,0.34,5,1.45,4,13,0.8,0.82,27,0.35,53.02,14
9,6,0.36,4,1.26,4,12,0.99,0.82,21,1.14,7.23,14
8,5,0.29,6,1.74,3,11,0.56,0.64,24,0.64,83.86,14
7,6,0.49,5,1.46,3,11,0.78,0.85,24,1.19,42.47,10
8,3,0.4,4,1.35,3,8,0.66,0.73,26,0.48,110.87,17
6,5,0.54,7,1.91,3,9,0.83,0.79,32,0.74,113.75,9
9,3,0.36,6,1.77,4,14,0.83,0.59,31,0.63,8.82,14
10,4,0.56,7,1.44,2,10,0.77,0.86,29,0.56,76.81,12
8,4,0.29,6,1.83,2,14,0.99,0.7,28,0.76,103.35,15
6,6,0.46,5,1.82,2,8,0.76,0.58,33,0.67,65.96,19
7,6,0.31,5,1.75,4,13,0.93,0.71,20,1.18,74.9,10
6,6,0.54,4,1.55,2,14,0.51,0.89,26,0.7,55.53,12
10,3,0.42,4,1.77,2,11,0.99,0.8,25,0.51,51.72,9
8,6,0.5,5,1.56,4,10,0.78,0.68,28,0.51,113.3,16
8,4,0.55,7,1.58,4,13,0.81,0.82,21,1.16,7.33,14
6,4,0.52,7,1.57,2,11,0.89,0.83,27,0.45,28.14,18
9,6,0.52,4,1.23,3,10,0.61,0.6,24,1.13,100.0,9
9,4,0.53,5,1.92,2,11,0.67,0.86,27,1.17,82.99,13
8,6,0.5,6,1.24,3,12,0.94,0.73,30,0.92,35.99,11
10,5,0.37,6,1.84,3,11,0.96,0.64,29,1.13,18.27,17
9,4,0.51,7,1.71,2,8,0.82,0.72,30,0.46,7.21,14
9,5,0.43,4,1.97,2,8,0.9,0.64,29,0.55,34.34,17
10,3,0.55,4,1.43,4,13,0.59,0.86,26,0.37,69.95,17
7,4,0.6,5,1.87,2,12,0.74,0.82,33,1.01,109.11,18
9,3,0.45,6,1.61,3,11,0.95,0.79,29,0.48,38.39,11
6,6,0.57,6,1.44,3,10,0.87,0.88,28,0.72,7.85,15
6,5,0.25,6,1.34,3,14,0.66,0.64,26,0.63,19.87,18
7,5,0.32,4,1.5,2,13,0.76,0.86,34,1.17,28.55,16
10,3,0.51,6,1.86,3,14,0.69,0.76,24,0.41,19.2,12
10,6,0.59,5,1.63,3,11,0.53,0.84,30,0.97,56.34,17
9,5,0.56,6,1.5,2,8,0.52,0.87,24,1.06,86.11,14
7,3,0.51,4,1.56,3,14,0.77,0.71,28,0.34,19.78,17
8,4,0.47,4,1.43,2,13,0.98,0.87,29,0.68,72.61,16
8,4,0.36,4,1.48,3,12,0.86,0.66,34,0.35,55.65,14
6,4,0.33,4,1.88,2,14,0.82,0.75,23,1.18,106.54,10
7,5,0.53,5,1.84,3,10,0.6,0.56,30,0.37,112.48,14
6,6,0.42,4,1.51,3,9,0.84,0.71,33,0.49,101.79,10
9,6,0.4,5,1.45,4,11,0.76,0.59,27,0.47,74.66,11
6,6,0.41,6,1.43,3,13,0.76,0.55,32,0.69,55.33,14
8,6,0.4,6,1.96,4,14,0.74,0.73,25,0.88,51.92,11
9,3,0.39,7,1.96,4,10,0.8,0.63,26,1.09,103.33,9
7,6,0.27,4,1.53,2,8,0.94,0.56,31,0.9,50.91,16
7,3,0.28,7,1.97,4,10,0.93,0.6,31,0.4,58.33,15
10,5,0.27,4,1.85,3,10,0.57,0.63,22,0.68,29.82,9
9,3,0.49,7,1.86,4,10,0.83,0.85,22,0.64,102.57,11
9,3,0.49,5,1.26,4,10,0.63,0.62,20,0.91,40.9,11
8,3,0.48,7,1.93,3,10,0.88,0.67,22,0.88,29.84,19
7,4,0.29,7,1.37,4,9,0.76,0.55,25,0.53,79.12,9
9,3,0.54,4,1.22,3,12,0.86,0.79,31,0.47,22.94,12
7,3,0.43,4,1.61,2,10,0.59,0.64,31,0.58,12.81,16
9,5,0.48,4,1.96,3,8,0.92,0.87,20,0.42,5.33,13
6,5,0.32,7,1.34,2,9,0.92,0.89,26,0.34,28.01,15
6,5,0.45,4,1.58,3,13,0.86,0.9,34,0.96,52.66,10
9,4,0.51,7,1.24,4,14,0.58,0.56,32,1.06,58.92,9
9,5,0.36,5,1.72,4,12,0.89,0.82,26,0.44,95.77,11
10,4,0.59,7,1.62,2,14,0.98,0.78,29,0.66,33.08,9
10,3,0.38,7,1.84,4,13,0.94,0.64,20,1.08,102.98,18
10,5,0.36,4,1.7,4,9,0.62,0.79,30,0.45,63.66,14
7,4,0.57,6,1.29,2,11,0.9,0.7,27,0.78,26.1,19
7,3,0.3,6,1.82,2,9,0.99,0.68,31,0.81,76.29,13
7,3,0.32,6,1.79,4,10,0.84,0.79,34,0.68,59.63,15
7,4,0.42,6,1.26,4,13,0.59,0.81,27,0.52,66.01,17
9,5,0.35,7,1.32,3,13,0.86,0.65,28,1.01,64.66,12
9,6,0.45,7,1.61,3,10,0.67,0.77,27,0.41,18.14,10
8,4,0.32,7,1.72,4,11,0.73,0.61,25,0.47,64.45,17
10,5,0.59,6,1.79,2,11,0.91,0.61,31,0.7,36.26,17
6,6,0.5,7,1.54,2,11,0.97,0.57,28,0.88,41.65,17
9,4,0.39,7,1.86,4,11,0.5,0.59,34,0.52,35.07,9
6,4,0.53,7,1.53,3,12,0.61,0.77,25,1.07,33.68,15
6,3,0.28,5,1.23,4,9,0.58,0.67,26,1.09,106.08,17
7,3,0.37,4,1.27,4,10,0.82,0.7,27,1.05,5.06,10
6,3,0.55,6,1.97,4,12,0.85,0.75,23,0.87,85.44,14
7,3,0.45,6,1.88,2,8,0.61,0.56,30,0.8,72.28,9
9,5,0.45,7,1.74,2,11,0.57,0.78,32,0.57,12.98,15
10,3,0.39,6,1.97,3,8,0.59,0.82,27,0.81,8.66,13
9,6,0.46,7,1.25,3,11,0.66,0.75,20,0.95,77.56,15
6,6,0.49,7,1.29,2,12,1.0,0.78,25,0.43,15.5,11
8,5,0.53,6,1.52,4,14,1.0,0.61,27,0.63,6.67,19
8,3,0.47,6,1.9,3,14,0.99,0.76,32,1.09,34.96,15
